,note,pro,con,anonymous,tutorial,topic,month,date
199,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-04,2019-04-09
200,5,everything,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-04,2019-04-10
201,5,,,,Reference-based RNA-Seq data analysis,Transcriptomics,2019-04,2019-04-11
202,4,,,,16S Microbial Analysis with mothur (extended),Metagenomics,2019-04,2019-04-11
204,5,Most complete tuto with lot of aspect.,Maybe add so MULTIQC (for inferexperiment for example) for an easiest visualisation.,,Reference-based RNA-Seq data analysis,Transcriptomics,2019-04,2019-04-12
205,5,,,,Set up a Galaxy for Training,Teaching and Hosting Galaxy training,2019-04,2019-04-12
206,3,,,,Analyses of metagenomics data - The global picture,Metagenomics,2019-04,2019-04-12
207,4,step by step very well described,data analysis with OTU / phylotype,,Analyses of metagenomics data - The global picture,Metagenomics,2019-04,2019-04-13
208,5,,,,Visualization of RNA-Seq results with Volcano Plot,Transcriptomics,2019-04,2019-04-13
209,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-04,2019-04-14
210,4,,,,Genome annotation with Prokka,Genome Annotation,2019-04,2019-04-16
211,5,Tutorials are up to the point as the interface is user friendly,"If the tutorials could be downloadable, it could be a great help",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-04,2019-04-16
212,4,"easy to follow, step by step",,,Unicycler Assembly,Assembly,2019-04,2019-04-16
214,4,,,,Genome Annotation,Genome Annotation,2019-04,2019-04-17
215,5,,,,Using dataset collections,Using Galaxy and Managing your Data,2019-04,2019-04-17
216,4,,Fatal error: Exit code 1 () Error running sorter.py Command '(grep '^#' /galaxy-repl/main/files/030/998/dataset_30998511.dat) >> /galaxy-repl/main/files/030/998/dataset_30998729.dat' returned non-zero exit status 1,,Galaxy 101,Introduction to Galaxy Analyses,2019-04,2019-04-18
217,5,,,,Visualization of RNA-Seq results with Volcano Plot,Transcriptomics,2019-04,2019-04-18
218,5,"Clear, comprehensive, great screenshots",Nothing so far,,2: RNA-seq counts to genes,Transcriptomics,2019-04,2019-04-18
220,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2019-04,2019-04-19
221,5,The detailed explanation,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-04,2019-04-21
222,4,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-04,2019-04-22
223,5,Very graphical and easy to follow,"If you make a question, include always the answer with an appropiate explanation to make everything clear. Why in the case you use the 36 filter there are so many reads discarded? Do not Forget most of people is the first time they work with this online tool.  ",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-04,2019-04-22
224,5,Very straight forward and convenient to catch up!,None,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-04,2019-04-22
225,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-04,2019-04-23
226,5,Everything,,,16S Microbial Analysis with mothur (extended),Metagenomics,2019-04,2019-04-24
227,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-04,2019-04-24
228,3,explanations were very clear !,this is a bit too long,,Galaxy 101,Introduction to Galaxy Analyses,2019-04,2019-04-25
230,1,,still to complex to make sense,,Detection and quantitation of N-termini (degradomics) via N-TAILS,Proteomics,2019-04,2019-04-26
231,4,,,,Unicycler Assembly,Assembly,2019-04,2019-04-26
232,5,,,,Label-free versus Labelled - How to Choose Your Quantitation Method,Proteomics,2019-04,2019-04-27
233,5,,,,16S Microbial Analysis with mothur (extended),Metagenomics,2019-04,2019-04-27
234,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-04,2019-04-27
235,5,It was easy to follow and very clear,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-04,2019-04-27
236,5,,,,Downstream Single-cell RNA analysis with RaceID,Transcriptomics,2019-04,2019-04-29
237,3,I liked the videos.,I would suggest to make the videos longer and theory shorter.,,NGS data logistics,Introduction to Galaxy Analyses,2019-04,2019-04-30
238,5,Instructive,I do not know - I know only Biopython,,Galaxy 101,Introduction to Galaxy Analyses,2019-05,2019-05-01
239,5,easy step by step guide to analysing 16s rRNA data,"When you say skip mock test if time retrain, skip whole section to OTU step? More information of the choice of databases used and do we use all etc?",,16S Microbial Analysis with mothur (extended),Metagenomics,2019-05,2019-05-03
240,5,,,,Antibiotic resistance detection,Metagenomics,2019-05,2019-05-03
241,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-05,2019-05-09
242,0,,"Tutorial doesn't have any public servers listed. Maybe a tool version conflict? Latest version is 0.0.3 and is installed at EU (and I made a request to add it to ORG). Are probably more tutorials like this -- seems the lists of ""instances"" is decreasing overall (bigger project, maybe good for the GTN or GCC co-fests)",,Visualization of RNA-Seq results with Volcano Plot,Transcriptomics,2019-05,2019-05-09
243,5,"the ""step by step """,,,Reference-based RNA-Seq data analysis,Transcriptomics,2019-05,2019-05-10
244,0,Analysis for tutorial should be done on large datasets like genome from population rather than on individual genome.  ,,,Genome annotation with Maker,Genome Annotation,2019-05,2019-05-12
245,5,solid logic and small amount of valuable information,"Probably as we are not trimming any adaptors in this tutorial, Trimmomatic can also be used on datasets provided.",,Quality Control,Sequence analysis,2019-05,2019-05-14
246,5,,,,1: RNA-Seq reads to counts,Transcriptomics,2019-05,2019-05-15
247,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-05,2019-05-16
248,4,,,,16S Microbial Analysis with mothur (extended),Metagenomics,2019-05,2019-05-16
249,4,,,,16S Microbial Analysis with mothur (extended),Metagenomics,2019-05,2019-05-16
250,5,Ease of understanding,Adding more examples of its applications and how it is used in real time,,Galaxy 101,Introduction to Galaxy Analyses,2019-05,2019-05-16
251,5,,,,Reference Data with CVMFS,Galaxy Server administration,2019-05,2019-05-20
252,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-05,2019-05-20
253,5,,"Needs another step after ""BAM-to-Fastq"" is run. Tool outputs ""fastq"", not ""fastqsanger"". Redetecting the datatype will work. Other option is to modify the tool to try to assign ""fastqsanger"" (if the data matches that type, cannot be assume, I'll open an IUC request). See discussion/confusion from a tutorial user here: https://help.galaxyproject.org/t/convert-from-bam-to-fastq/1318",,Differential abundance testing of small RNAs,Transcriptomics,2019-05,2019-05-20
254,1,,,,Reference-based RNA-Seq data analysis,Transcriptomics,2019-05,2019-05-21
255,4,,,,1: RNA-Seq reads to counts,Transcriptomics,2019-05,2019-05-24
256,5,all of it,add example with bowtie2 ,,NGS data logistics,Introduction to Galaxy Analyses,2019-05,2019-05-24
258,5,The instructions were very clear and easy to follow,It would be nice if there is more explanations on the significance of each step and what exactly is being performed when selecting different tools.,,Galaxy 101,Introduction to Galaxy Analyses,2019-05,2019-05-30
259,5,Clearly stated.,I can not say for sure.,,Reference-based RNA-Seq data analysis,Transcriptomics,2019-05,2019-05-30
260,5,simple and easy to learn,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-05,2019-05-31
261,5,Detailed of both technique are very concise and helpful,,,Label-free versus Labelled - How to Choose Your Quantitation Method,Proteomics,2019-06,2019-06-01
262,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2019-06,2019-06-02
263,5,,,,De novo transcriptome reconstruction with RNA-Seq,Transcriptomics,2019-06,2019-06-03
264,4,the real data analysis,provide links to the tool side by side,,An Introduction to Genome Assembly,Assembly,2019-06,2019-06-03
266,5,,,,Visualization of RNA-Seq results with heatmap2,Transcriptomics,2019-06,2019-06-04
267,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-06,2019-06-07
268,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2019-06,2019-06-11
269,4,Good introduction to Galaxy. I like the worklflow function the most. ,Couldn´t really see what the results in the genome browser would tell me and how I apply this for my work. ,,Galaxy 101,Introduction to Galaxy Analyses,2019-06,2019-06-11
270,5,,,,Mapping,Sequence analysis,2019-06,2019-06-11
271,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-06,2019-06-12
272,4,,waiting time during analyses,,Reference-based RNA-Seq data analysis,Transcriptomics,2019-06,2019-06-12
273,4,"You can work only on the tutorial and if you follow the descriptions carefully, you will get the result you expect to get.",Explaining how to get the featureCounts data from another history (drag and drop and say it should be taken from another history in the first place).,,Reference-based RNA-Seq data analysis,Transcriptomics,2019-06,2019-06-12
274,2,"almost all of it worked like the tutorial, very helpful",the Filter by quality function was not on the program,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-06,2019-06-14
275,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2019-06,2019-06-14
276,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2019-06,2019-06-14
277,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-06,2019-06-17
278,5,,,,1: RNA-Seq reads to counts,Transcriptomics,2019-06,2019-06-18
279,5,Clearly explained. ,"In the first step (install requirements) - does there need to be an extra step before step 5, that says ""conda activate galaxy_training_material"" ? ",,Running the GTN website locally,Contributing to the Galaxy Training Material,2019-06,2019-06-19
280,4,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-06,2019-06-19
281,5,"complete, with examples (questions+solutions)",,,Visualization of RNA-Seq results with Volcano Plot,Transcriptomics,2019-06,2019-06-20
282,5,,,,16S Microbial Analysis with mothur (extended),Metagenomics,2019-06,2019-06-23
283,1,,,,16S Microbial Analysis with mothur (extended),Metagenomics,2019-06,2019-06-23
284,5,the layout was great,will not know until I work on my own data,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-06,2019-06-23
285,5,Examples and documentation are easy to follow,,,Ansible,Galaxy Server administration,2019-07,2019-07-01
286,3,,Too long and too much details with screenshots to be able to gasp the main thing just with quick browse through material. Short summary of key points would be very helpful.,,Using Workflow Parameters,Using Galaxy and Managing your Data,2019-07,2019-07-01
287,4,well explained :),"sometimes it is not clear in the exercises which files have to be edited, or the code is not ready to copy-paste, which leads to misunderstandings.  I would love to see the whole explanation of the variables of the config files you did (specially nginx) written down to check them when needed.",,Galaxy Installation with Ansible,Galaxy Server administration,2019-07,2019-07-01
288,5,Very good step by step procedure.,perhaps more emphasis on some steps (geerlingguy.pip during supervisord),,Galaxy Installation with Ansible,Galaxy Server administration,2019-07,2019-07-01
289,5,I already followed this tutorial by my own before GCC.,"I would add all the galaxy.yml and modify it instead of copy/paste some element in the playbook. For me, it's easier to get update shiped with each Galaxy update.",,Galaxy Installation with Ansible,Galaxy Server administration,2019-07,2019-07-01
290,5,extremely well done - thank you training material authors and presenters,"1) ssh connection timeout is too short, disconnects while running playbooks. (2) sometimes the insertion point for yaml section in the exercices could be more explicit",,Galaxy Installation with Ansible,Galaxy Server administration,2019-07,2019-07-01
291,5,,,,Galaxy Installation with Ansible,Galaxy Server administration,2019-07,2019-07-01
292,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2019-07,2019-07-01
293,5,,,,16S Microbial Analysis with mothur (extended),Metagenomics,2019-07,2019-07-02
294,5,this was way super cool,"maybe specify that the parts in Setting admin... part 1 should go under the galaxy: heading for those not as familiar with galaxy configs? or can we assume they're all savvy? templates/deployment_web.yaml -> dash, not underscore",,Managing Galaxy on Kubernetes,Galaxy Server administration,2019-07,2019-07-03
295,5,,"the samples are great and its great to have the copy capacity, but some of those copies could mess people up (ones with ..., snippets of yaml that start with ---, etc)",,Reference Data with CVMFS,Galaxy Server administration,2019-07,2019-07-04
296,5,,,,Microbial Variant Calling,Variant Analysis,2019-07,2019-07-05
297,5,,,,Visualization of RNA-Seq results with Volcano Plot,Transcriptomics,2019-07,2019-07-06
298,5,"This format is much more approachable (esp. for hands-on) than the PDFs at W4M.org. I'm not saying that the PDFs are not helpful or informative (they are), but this is much more suitable for walking through the steps. Also, because it is a ""living document"", you can improve it in place, and we do not need to look for an updated document somewhere else.  We can always link to one URL when referencing the tutorial.","Document every axis of every panel of Quality_Metrics_figure.pdf, e.g., what are deciles and missing values in the bottom left panel? Put into the description the rationale behind the parameters chosen in Data Filtering (you presented it wonderfully verbally, but I don't find it written into the tutorial).",,Mass spectrometry: LC-MS analysis,Metabolomics,2019-07,2019-07-06
